Unnamed: 0,medications,med_dm_use,med_chol_use,med_bp_use,med_dep_use
407,carisoprodol,0,0,0,0
408,quinidine sulfate,0,0,0,0
409,digoxin,0,0,0,0
410,warfarin sodium,0,0,0,0
411,inderal,0,0,0,0
412,lodine xl,0,0,0,0
413,trusopt,0,0,0,0
414,voltaren,0,0,0,0
415,pepcid,0,0,0,0
416,advil,0,0,0,0
417,bumex,0,0,0,0
418,yasmin,0,0,0,0
419,polaramine,0,0,0,0
420,ferrous gluconate,0,0,0,0
421,mirapex,0,0,0,0
422,ziac,0,0,0,0
423,nitrofurantoin macrocrystal,0,0,0,0
424,methotrexate,0,0,0,0
425,cabergoline,0,0,0,0
426,urocit-k,0,0,0,0
427,rocuvastatin,0,1,0,0
428,diflunisal,0,0,0,0
429,hyoscyamine,0,0,0,0
430,captopril,0,0,0,0
431,axert,0,0,0,0
432,hawthorne,0,0,0,0
433,zyrtec-d,0,0,0,0
434,sulfamethoxazole/trimethoprim,0,0,0,0
435,phenazopyridine hcl,0,0,0,0
436,estraderm,0,0,0,0
437,combipatch,0,0,0,0
438,sinemet-25/250,0,0,0,0
439,timoptic,0,0,0,0
440,hyzaar,0,0,0,0
441,prandin,0,0,0,0
442,doxazosin mesylate,0,0,0,0
443,levsin,0,0,0,0
444,levbid,0,0,0,0
445,baycol,0,0,0,0
446,tofranil-pm,0,0,0,0
447,glucotrol,0,0,0,0
448,mysoline,0,0,0,0
449,promethazine w/codeine,0,0,0,0
450,os-cal 500,0,0,0,0
451,phenobarbital,0,0,0,0
452,klor-con 10,0,0,0,0
453,hydrocodone bitartrate/apap,0,0,0,0
454,clotrimazole,0,0,0,0
455,ketotifen fumarate,0,0,0,0
456,maxair,0,0,0,0
457,remeron,0,0,0,0
458,lipitor/placebo,0,1,0,0
459,finasteride,0,0,0,0
460,extendryl,0,0,0,0
461,macrobid,0,0,0,0
462,desoximetasone,0,0,0,0
463,ritalin,0,0,0,0
464,lamictal,0,0,0,0
465,risperidone,0,0,0,0
466,bactrim,0,0,0,0
467,dicyclomine hcl,0,0,0,0
468,capsaicin,0,0,0,0
469,atrovent,0,0,0,0
470,risperdal,0,0,0,0
471,lupron,0,0,0,0
472,vivelle,0,0,0,0
473,indomethacin,0,0,0,0
474,glipizide,1,0,0,0
475,coreg,0,0,0,0
476,accuretic,0,0,0,0
477,stavudine,0,0,0,0
478,lamivudine,0,0,0,0
479,sustiva,0,0,0,0
480,acyclovir,0,0,0,0
481,isometheptene/apap/dichlphen,0,0,0,0
482,nasacort,0,0,0,0
483,betamethasone dipropionate .05%,0,0,0,0
484,buspar,0,0,0,0
485,telmisartan,0,0,0,0
486,terbinafine hcl,0,0,0,0
487,bel-phen-ergot s,0,0,0,0
488,augmentin,0,0,0,0
489,temazepam,0,0,0,0
490,disopyramide phosphate,0,0,0,0
491,pilocarpine hcl,0,0,0,0
492,fe-tinic,0,0,0,0
493,lotrisone,0,0,0,0
494,starlix,0,0,0,0
495,desowen lotion,0,0,0,0
496,loprox lotion,0,0,0,0
497,loprax lotion,0,0,0,0
498,omeprazole,0,0,0,0
499,estrace -ka,0,0,0,0
500,estrace - ka,0,0,0,0
501,diclofenac sodium,0,0,0,0
502,compazine,0,0,0,0
503,hydrocodone w/acetaminophen,0,0,0,0
504,cytomel,0,0,0,0
505,imitrex,0,0,0,0
506,zofran,0,0,0,0
507,oxibutin,0,0,0,0
508,erythromycin base,0,0,0,0
509,phenytoin sodium extended,0,0,0,0
510,nitro-dur,0,0,0,0
511,depo-provera contraceptive,0,0,0,0
512,polycitra-k,0,0,0,0
513,tequin,0,0,0,0
514,fulvicin u/f,0,0,0,0
515,atenolol w/chlorthalidone,0,0,1,0
516,keflex,0,0,0,0
517,progesterone gel,0,0,0,0
518,estrogen ring,0,0,0,0
519,vivelle-dot,0,0,0,0
520,zaroxolyn,0,0,0,0
521,salicylic acid,0,0,0,0
522,clarinex,0,0,0,0
523,estratab,0,0,0,0
524,betapace,0,0,0,0
525,sporanox,0,0,0,0
526,nasalcort aq,0,0,0,0
527,depo-provera,0,0,0,0
528,captopril/hydrochlorothiazide,0,0,1,0
529,colchicine,0,0,0,0
530,tolmetin sodium,0,0,0,0
531,irbesartan,0,0,0,0
532,potassium gluconate,0,0,0,0
533,choline mag trisalicylate,0,0,0,0
534,bextra,0,0,0,0
535,androderm,0,0,0,0
536,micardis,0,0,0,0
537,triamcinolone acetonide,0,0,0,0
538,neomycin/polymyxin/hc,0,0,0,0
539,vaseretic,0,0,0,0
540,quinapril hcl/mag carb,0,0,0,0
541,rabeprazole sodium,0,0,0,0
542,lansoprazole,0,0,0,0
543,citalopram hydrobromide,0,0,0,1
544,methocarbamol,0,0,0,0
545,topamax,0,0,0,0
546,azelex,0,0,0,0
547,retin-a,0,0,0,0
548,clindamycin phosphate,0,0,0,0
549,trivora-28,0,0,0,0
550,imdur,0,0,0,0
551,isosorbide mononitrate,0,0,0,0
552,propecia,0,0,0,0
553,alrex,0,0,0,0
554,veetids 500,0,0,0,0
555,glucophage xl,0,0,0,0
556,tenormin,0,0,0,0
557,pletal,0,0,0,0
558,maxidone,0,0,0,0
559,digitek,0,0,0,0
560,sotalol hcl,0,0,0,0
561,nelova,0,0,0,0
562,zomig,0,0,0,0
563,renova,0,0,0,0
564,detrol la,0,0,0,0
565,librax,0,0,0,0
566,triamcinolone cream,0,0,0,0
567,midrin,0,0,0,0
568,lumigan,0,0,0,0
569,isoptin s.r.,0,0,0,0
570,isosorbide dinitrate,0,0,0,0
571,k-dur,0,0,0,0
572,ntg,0,0,0,0
573,tambocor,0,0,0,0
574,unithroid,0,0,0,0
575,fosinopril sodium,0,0,0,0
576,tenoretic 100,0,0,0,0
577,fiorinal,0,0,0,0
578,urecholine,0,0,0,0
579,os-cal 250+d,0,0,0,0
580,ceftin,0,0,0,0
581,acular,0,0,0,0
582,corgard,0,0,0,0
583,chromagen fa,0,0,0,0
584,aleve,0,0,0,0
585,slow-k,0,0,0,0
586,nizoral cream,0,0,0,0
587,lithium carbonate,0,0,0,0
588,rythmol,0,0,0,0
589,influenza virus trivalent,0,0,0,0
590,premarin cream,0,0,0,0
591,vanceril,0,0,0,0
592,norgestrel,0,0,0,0
593,antivert,0,0,0,0
594,prazosin hcl,0,0,0,0
595,floxin,0,0,0,0
596,hctz/triamterene,0,0,0,0
597,metronidazole 1% topical,0,0,0,0
598,metronidozole 1% topical,0,0,0,0
599,arimidex,0,0,0,0
600,duratuss g,0,0,0,0
601,cyanocobalamin,0,0,0,0
602,bentyl,0,0,0,0
603,malarone,0,0,0,0
604,colestipol hcl,0,0,0,0
605,rhinocort aqua,0,0,0,0
606,calan sr,0,0,0,0
607,valium,0,0,0,0
608,microzide,0,0,0,0
609,propoxyphene hcl w/apap,0,0,0,0
610,meloxicam,0,0,0,0
611,cholestyramine,0,0,0,0
612,vagifem,0,0,0,0
613,norflex,0,0,0,0
614,cutivate ointment,0,0,0,0
615,zyloprim,0,0,0,0
616,estradiol/noreth ac,0,0,0,0
617,diprolene,0,0,0,0
618,sarafem,0,0,0,0
619,sulindac,0,0,0,0
620,testosterone,0,0,0,0
621,zyprexa,0,0,0,0
622,glucosamine,0,0,0,0
623,maxiflor,0,0,0,0
624,humulin u,0,0,0,0
625,humulin 70/30,0,0,0,0
626,humulin r,0,0,0,0
627,ultracet,0,0,0,0
628,procardia xl,0,0,0,0
629,doxycycline hyclate,0,0,0,0
630,cerivastatin sodium,0,1,0,0
631,biaxin xl,0,0,0,0
632,phenergan w/codeine,0,0,0,0
633,avelox,0,0,0,0
634,caltrate-600,0,0,0,0
635,sinemet-10/100,0,0,0,0
636,ampicillin anhydrous,0,0,0,0
637,codeine phosphate/br-dpha hcl,0,0,0,0
638,klor-con 8,0,0,0,0
639,testosterone enanthate,0,0,0,0
640,buspirone hcl,0,0,0,0
641,propoxyphene napsylate w/apap,0,0,0,0
642,probenecid,0,0,0,0
643,procrit,0,0,0,0
644,zovia 1/35-21,0,0,0,0
645,lorazepam,0,0,0,0
646,prolex d,0,0,0,0
647,tranxene sd,0,0,0,0
648,prolex dh,0,0,0,0
649,sulfacetamide sodium,0,0,0,0
650,guiatuss dm,0,0,0,0
651,ercaf,0,0,0,0
652,rescon,0,0,0,0
653,gynodial,0,0,0,0
654,accular,0,0,0,0
655,pred forte,0,0,0,0
656,viroptic,0,0,0,0
657,fml,0,0,0,0
658,alomide,0,0,0,0
659,penlac,0,0,0,0
660,meridia,0,0,0,0
661,vancenase,0,0,0,0
662,carbidopa/levodopa,0,0,0,0
663,enbrel,0,0,0,0
664,asa/apap/magnesium/al hydrox,0,0,0,0
665,nitrostat,0,0,0,0
666,guanfacine hcl,0,0,0,0
667,clobetasol propionate - solution,0,0,0,0
668,desonide,0,0,0,0
669,clobetasol proprionate- solution,0,0,0,0
670,rescon mx,0,0,0,0
671,advicor,0,0,0,0
672,triamcinolone acetonide topical creme,0,0,0,0
673,loprox gel,0,0,0,0
674,provigil,0,0,0,0
675,aerobid,0,0,0,0
676,naphcon,0,0,0,0
677,ocean,0,0,0,0
678,liquibid-d,0,0,0,0
679,loprox,0,0,0,0
680,pyridium,0,0,0,0
681,klor-con,0,0,0,0
682,nystatin,0,1,0,0
683,floxin otic,0,0,0,0
684,isopto homatropine,0,0,0,0
685,diflucan,0,0,0,0
686,felodipine,0,0,0,0
687,anaprox,0,0,0,0
688,metronidazole,0,0,0,0
689,miconazole nitrate,0,0,0,0
690,humibid dm,0,0,0,0
691,questran light,0,0,0,0
692,hydroxychloroquine sulfate,0,0,0,0
693,rofecoxib,0,0,0,0
694,cartia,0,0,0,0
695,lo/ovral-21,0,0,0,0
696,gentak,0,0,0,0
697,k-lor,0,0,0,0
698,hydrochlothalidone,0,0,0,0
699,tri-est,0,0,0,0
700,methyldopa,0,0,0,0
701,brompheniramine w/pseudoephed,0,0,0,0
702,budesonide,0,0,0,0
703,claron- ka,0,0,0,0
704,azelex- ka,0,0,0,0
705,norethindrone a-e estradiol,0,0,0,0
706,claron - ka,0,0,0,0
707,azelex - ka,0,0,0,0
708,claron- ca,0,0,0,0
709,spironolactone w/hctz,0,0,0,0
710,tessalon perle,0,0,0,0
711,aspirin buffered,0,0,0,0
712,calcium acetate,0,0,0,0
713,potassium citrate,0,0,0,0
714,ocuflox,0,0,0,0
715,chlorpheniramine maleate,0,0,0,0
716,aci-jel,0,0,0,0
717,chondroitin sulfate,0,0,0,0
718,diltia xt,0,0,0,0
719,levofloxacin,0,0,0,0
720,tarka,0,0,0,0
721,testosterone- ka,0,0,0,0
722,testosterone - ka,0,0,0,0
723,guaifenesin la,0,0,0,0
724,butalbital compound,0,0,0,0
725,diazepam,0,0,0,0
726,estrace vaginal creme,0,0,0,0
727,ortho-cept,0,0,0,0
728,guaifenesin/codeine phosphat,0,0,0,0
729,zovia 1/35e,0,0,0,0
730,surfak,0,0,0,0
731,pilopine hs,0,0,0,0
732,latanoprost,0,0,0,0
733,cleocin-t,0,0,0,0
734,cicloprox,0,0,0,0
735,ciclopirox,0,0,0,0
736,brimonidine tartrate,0,0,0,0
737,benadryl,0,0,0,0
738,ultravate,0,0,0,0
739,guaifenesin w/pseudoephedrine,0,0,0,0
740,permax,0,0,0,0
741,darvocet-n 50,0,0,0,0
742,orphenadrine citrate,0,0,0,0
743,loprox cream,0,0,0,0
744,parlodel,0,0,0,0
745,travoprost/timolol,0,0,0,0
746,norethindrone-ethin estradiol,0,0,0,0
747,oxycodone hcl/acetaminophen,0,0,0,0
748,oxiconazole nitrate,0,0,0,0
749,demadex,0,0,0,0
750,azatadine maleate,0,0,0,0
751,hydrochlorot,0,0,0,0
752,butalbital/apap/caffeine,0,0,0,0
753,fentanyl citrate,0,0,0,0
754,versed,0,0,0,0
755,tacrolimus 0.1%,0,0,0,0
756,geodon,0,0,0,0
757,chlorzoxazone,0,0,0,0
758,benazepril hcl,0,0,0,0
759,sudafed,0,0,0,0
760,ortho-cyclen,0,0,0,0
761,persantine,0,0,0,0
762,badesonide - au,0,0,0,0
763,carafate,0,0,0,0
764,livostin,0,0,0,0
765,benadryl allergy,0,0,0,0
766,intal,0,0,0,0
767,lotemax,0,0,0,0
768,cafergot,0,0,0,0
769,tylenol extra strength,0,0,0,0
770,nexium dr,0,0,0,0
771,depo-medrol,0,0,0,0
772,deconsal,0,0,0,0
773,mexiletine hcl,0,0,0,0
774,phazyme,0,0,0,0
775,carbidopa,0,0,0,0
776,levodopa,0,0,0,0
777,ovcon-35,0,0,0,0
778,mesalamine,0,0,0,0
779,hydralazine hcl,0,0,0,0
780,bactrim ds,0,0,0,0
781,prednisolone,0,0,0,0
782,prenatal plus,0,0,0,0
783,dapsone,0,0,0,0
784,advair inhaler,0,0,0,0
785,lo/ovral-28,0,0,0,0
786,beclomethasone dipropionate,0,0,0,0
787,aldomet,0,0,0,0
788,micro-k 10,0,0,0,0
789,docusate sodium w/casanthranol,0,0,0,0
790,ortho-prefest,0,0,0,0
791,imodium,0,0,0,0
792,lonox,0,0,0,0
793,opium,0,0,0,0
794,entex pse,0,0,0,0
795,spectazole,0,0,0,0
796,amlodipine besylate,0,0,1,0
797,metoprolol succinate,0,0,1,0
798,tylenol w/codeine no.2,0,0,0,0
799,zenical,0,0,0,0
800,evida,0,0,0,0
801,pulmicort,0,0,0,0
802,bumetanide,0,0,0,0
803,pantoprazole,0,0,0,0
804,morphine sulfate,0,0,0,0
805,carbamazepine,0,0,0,0
806,tegretol xr,0,0,0,0
807,micronor,0,0,0,0
808,ofloxacin,0,0,0,0
809,prednisol,0,0,0,0
810,estrone,0,0,0,0
811,estriol,0,0,0,0
812,ticlopidine hcl,0,0,0,0
813,hctz/propranolol hcl,0,0,0,0
814,ergotamine tartrate/caffeine,0,0,0,0
815,hydrocortone,0,0,0,0
816,nicoderm cq,0,0,0,0
817,hycodan,0,0,0,0
818,neomycin/polymyxin/dexameth,0,0,0,0
819,methimazole,0,0,0,0
820,flunisolide,0,0,0,0
821,lotensin hct,0,0,0,0
822,maxzide-25mg,0,0,0,0
823,beclovent,0,0,0,0
824,mometasone furoate,0,0,0,0
825,megestrol acetate,0,0,0,0
826,dura-vent,0,0,0,0
827,benzocaine/phenol,0,0,0,0
828,vaniga eflornithine hydrochloride,0,0,0,0
829,difteringel,0,0,0,0
830,benzaclin,0,0,0,0
831,trilisate,0,0,0,0
832,flagyl,0,0,0,0
833,omnicef,0,0,0,0
834,actifed,0,0,0,0
835,clemastine fumarate,0,0,0,0
836,lisinopril/hydrochlorothiazide,0,0,1,0
837,efudex,0,0,0,0
838,os-cal 500+d,0,0,0,0
839,depakote er,0,0,0,0
