"","medications"
"396","MAXALT MLT"
"397","LEVOBUNOLOL HCL"
"398","ACTIVELLA"
"399","DONNATAL"
"400","TEGRETOL"
"401","ARICEPT"
"402","TRENTAL"
"403","VALTREX"
"404","DEMEROL"
"405","LIDOCAINE HCL"
"406","CLINDAMYCIN PHOSPHATE TOPICAL"
"407","CARISOPRODOL"
"408","QUINIDINE SULFATE"
"409","DIGOXIN"
"410","WARFARIN SODIUM"
"411","INDERAL"
"412","LODINE XL"
"413","TRUSOPT"
"414","VOLTAREN"
"415","PEPCID"
"416","ADVIL"
"417","BUMEX"
"418","YASMIN"
"419","POLARAMINE"
"420","FERROUS GLUCONATE"
"421","MIRAPEX"
"422","ZIAC"
"423","NITROFURANTOIN MACROCRYSTAL"
"424","METHOTREXATE"
"425","CABERGOLINE"
"426","UROCIT-K"
"427","ROCUVASTATIN"
"428","DIFLUNISAL"
"429","HYOSCYAMINE"
"430","CAPTOPRIL"
"431","AXERT"
"432","HAWTHORNE"
"433","ZYRTEC-D"
"434","SULFAMETHOXAZOLE/TRIMETHOPRIM"
"435","PHENAZOPYRIDINE HCL"
"436","ESTRADERM"
"437","COMBIPATCH"
"438","SINEMET-25/250"
"439","TIMOPTIC"
"440","HYZAAR"
"441","PRANDIN"
"442","DOXAZOSIN MESYLATE"
"443","LEVSIN"
"444","LEVBID"
"445","BAYCOL"
"446","TOFRANIL-PM"
"447","GLUCOTROL"
"448","MYSOLINE"
"449","PROMETHAZINE W/CODEINE"
"450","OS-CAL 500"
"451","PHENOBARBITAL"
"452","KLOR-CON 10"
"453","HYDROCODONE BITARTRATE/APAP"
"454","CLOTRIMAZOLE"
"455","KETOTIFEN FUMARATE"
"456","MAXAIR"
"457","REMERON"
"458","LIPITOR/PLACEBO"
"459","FINASTERIDE"
"460","EXTENDRYL"
"461","MACROBID"
"462","DESOXIMETASONE"
"463","RITALIN"
"464","LAMICTAL"
"465","RISPERIDONE"
"466","BACTRIM"
"467","DICYCLOMINE HCL"
"468","CAPSAICIN"
"469","ATROVENT"
"470","RISPERDAL"
"471","LUPRON"
"472","VIVELLE"
"473","INDOMETHACIN"
"474","GLIPIZIDE"
"475","COREG"
"476","ACCURETIC"
"477","STAVUDINE"
"478","LAMIVUDINE"
"479","SUSTIVA"
"480","ACYCLOVIR"
"481","ISOMETHEPTENE/APAP/DICHLPHEN"
"482","NASACORT"
"483","BETAMETHASONE DIPROPIONATE .05%"
"484","BUSPAR"
"485","TELMISARTAN"
"486","TERBINAFINE HCL"
"487","BEL-PHEN-ERGOT S"
"488","AUGMENTIN"
"489","TEMAZEPAM"
"490","DISOPYRAMIDE PHOSPHATE"
"491","PILOCARPINE HCL"
"492","FE-TINIC"
"493","LOTRISONE"
"494","STARLIX"
"495","DESOWEN LOTION"
"496","LOPROX LOTION"
"497","LOPRAX LOTION"
"498","OMEPRAZOLE"
"499","ESTRACE -KA"
"500","ESTRACE - KA"
"501","DICLOFENAC SODIUM"
"502","COMPAZINE"
"503","HYDROCODONE W/ACETAMINOPHEN"
"504","CYTOMEL"
"505","IMITREX"
"506","ZOFRAN"
"507","OXIBUTIN"
"508","ERYTHROMYCIN BASE"
"509","PHENYTOIN SODIUM EXTENDED"
"510","NITRO-DUR"
"511","DEPO-PROVERA CONTRACEPTIVE"
"512","POLYCITRA-K"
"513","TEQUIN"
"514","FULVICIN U/F"
"515","ATENOLOL W/CHLORTHALIDONE"
"516","KEFLEX"
"517","PROGESTERONE GEL"
"518","ESTROGEN RING"
"519","VIVELLE-DOT"
"520","ZAROXOLYN"
"521","SALICYLIC ACID"
"522","CLARINEX"
"523","ESTRATAB"
"524","BETAPACE"
"525","SPORANOX"
"526","NASALCORT AQ"
"527","DEPO-PROVERA"
"528","CAPTOPRIL/HYDROCHLOROTHIAZIDE"
"529","COLCHICINE"
"530","TOLMETIN SODIUM"
"531","IRBESARTAN"
"532","POTASSIUM GLUCONATE"
"533","CHOLINE MAG TRISALICYLATE"
"534","BEXTRA"
"535","ANDRODERM"
"536","MICARDIS"
"537","TRIAMCINOLONE ACETONIDE"
"538","NEOMYCIN/POLYMYXIN/HC"
"539","VASERETIC"
"540","QUINAPRIL HCL/MAG CARB"
"541","RABEPRAZOLE SODIUM"
"542","LANSOPRAZOLE"
"543","CITALOPRAM HYDROBROMIDE"
"544","METHOCARBAMOL"
"545","TOPAMAX"
"546","AZELEX"
"547","RETIN-A"
"548","CLINDAMYCIN PHOSPHATE"
"549","TRIVORA-28"
"550","IMDUR"
"551","ISOSORBIDE MONONITRATE"
"552","PROPECIA"
"553","ALREX"
"554","VEETIDS 500"
"555","GLUCOPHAGE XL"
"556","TENORMIN"
"557","PLETAL"
"558","MAXIDONE"
"559","DIGITEK"
"560","SOTALOL HCL"
"561","NELOVA"
"562","ZOMIG"
"563","RENOVA"
"564","DETROL LA"
"565","LIBRAX"
"566","TRIAMCINOLONE CREAM"
"567","MIDRIN"
"568","LUMIGAN"
"569","ISOPTIN S.R."
"570","ISOSORBIDE DINITRATE"
"571","K-DUR"
"572","NTG"
"573","TAMBOCOR"
"574","UNITHROID"
"575","FOSINOPRIL SODIUM"
"576","TENORETIC 100"
"577","FIORINAL"
"578","URECHOLINE"
"579","OS-CAL 250+D"
"580","CEFTIN"
"581","ACULAR"
"582","CORGARD"
"583","CHROMAGEN FA"
"584","ALEVE"
"585","SLOW-K"
"586","NIZORAL CREAM"
"587","LITHIUM CARBONATE"
"588","RYTHMOL"
"589","INFLUENZA VIRUS TRIVALENT"
"590","PREMARIN CREAM"
"591","VANCERIL"
"592","NORGESTREL"
"593","ANTIVERT"
"594","PRAZOSIN HCL"
"595","FLOXIN"
"596","HCTZ/TRIAMTERENE"
"597","METRONIDAZOLE 1% TOPICAL"
"598","METRONIDOZOLE 1% TOPICAL"
"599","ARIMIDEX"
"600","DURATUSS G"
"601","CYANOCOBALAMIN"
"602","BENTYL"
"603","MALARONE"
"604","COLESTIPOL HCL"
"605","RHINOCORT AQUA"
"606","CALAN SR"
"607","VALIUM"
"608","MICROZIDE"
"609","PROPOXYPHENE HCL W/APAP"
"610","MELOXICAM"
"611","CHOLESTYRAMINE"
"612","VAGIFEM"
"613","NORFLEX"
"614","CUTIVATE OINTMENT"
"615","ZYLOPRIM"
"616","ESTRADIOL/NORETH AC"
"617","DIPROLENE"
"618","SARAFEM"
"619","SULINDAC"
"620","TESTOSTERONE"
"621","ZYPREXA"
"622","GLUCOSAMINE"
"623","MAXIFLOR"
"624","HUMULIN U"
"625","HUMULIN 70/30"
"626","HUMULIN R"
"627","ULTRACET"
"628","PROCARDIA XL"
"629","DOXYCYCLINE HYCLATE"
"630","CERIVASTATIN SODIUM"
"631","BIAXIN XL"
"632","PHENERGAN W/CODEINE"
"633","AVELOX"
"634","CALTRATE-600"
"635","SINEMET-10/100"
"636","AMPICILLIN ANHYDROUS"
"637","CODEINE PHOSPHATE/BR-DPHA HCL"
"638","KLOR-CON 8"
"639","TESTOSTERONE ENANTHATE"
"640","BUSPIRONE HCL"
"641","PROPOXYPHENE NAPSYLATE W/APAP"
"642","PROBENECID"
"643","PROCRIT"
"644","ZOVIA 1/35-21"
"645","LORAZEPAM"
"646","PROLEX D"
"647","TRANXENE SD"
"648","PROLEX DH"
"649","SULFACETAMIDE SODIUM"
"650","GUIATUSS DM"
"651","ERCAF"
"652","RESCON"
"653","GYNODIAL"
"654","ACCULAR"
"655","PRED FORTE"
"656","VIROPTIC"
"657","FML"
"658","ALOMIDE"
"659","PENLAC"
"660","MERIDIA"
"661","VANCENASE"
"662","CARBIDOPA/LEVODOPA"
"663","ENBREL"
"664","ASA/APAP/MAGNESIUM/AL HYDROX"
"665","NITROSTAT"
"666","GUANFACINE HCL"
"667","CLOBETASOL PROPIONATE - SOLUTION"
"668","DESONIDE"
"669","CLOBETASOL PROPRIONATE- SOLUTION"
"670","RESCON MX"
"671","ADVICOR"
"672","TRIAMCINOLONE ACETONIDE TOPICAL CREME"
"673","LOPROX GEL"
"674","PROVIGIL"
"675","AEROBID"
"676","NAPHCON"
"677","OCEAN"
"678","LIQUIBID-D"
"679","LOPROX"
"680","PYRIDIUM"
"681","KLOR-CON"
"682","NYSTATIN"
"683","FLOXIN OTIC"
"684","ISOPTO HOMATROPINE"
"685","DIFLUCAN"
"686","FELODIPINE"
"687","ANAPROX"
"688","METRONIDAZOLE"
"689","MICONAZOLE NITRATE"
"690","HUMIBID DM"
"691","QUESTRAN LIGHT"
"692","HYDROXYCHLOROQUINE SULFATE"
"693","ROFECOXIB"
"694","CARTIA"
"695","LO/OVRAL-21"
"696","GENTAK"
"697","K-LOR"
"698","HYDROCHLOTHALIDONE"
"699","TRI-EST"
"700","METHYLDOPA"
"701","BROMPHENIRAMINE W/PSEUDOEPHED"
"702","BUDESONIDE"
"703","CLARON- KA"
"704","AZELEX- KA"
"705","NORETHINDRONE A-E ESTRADIOL"
"706","CLARON - KA"
"707","AZELEX - KA"
"708","CLARON- CA"
"709","SPIRONOLACTONE W/HCTZ"
"710","TESSALON PERLE"
"711","ASPIRIN BUFFERED"
"712","CALCIUM ACETATE"
"713","POTASSIUM CITRATE"
"714","OCUFLOX"
"715","CHLORPHENIRAMINE MALEATE"
"716","ACI-JEL"
"717","CHONDROITIN SULFATE"
"718","DILTIA XT"
"719","LEVOFLOXACIN"
"720","TARKA"
"721","TESTOSTERONE- KA"
"722","TESTOSTERONE - KA"
"723","GUAIFENESIN LA"
"724","BUTALBITAL COMPOUND"
"725","DIAZEPAM"
"726","ESTRACE VAGINAL CREME"
"727","ORTHO-CEPT"
"728","GUAIFENESIN/CODEINE PHOSPHAT"
"729","ZOVIA 1/35E"
"730","SURFAK"
"731","PILOPINE HS"
"732","LATANOPROST"
"733","CLEOCIN-T"
"734","CICLOPROX"
"735","CICLOPIROX"
"736","BRIMONIDINE TARTRATE"
"737","BENADRYL"
"738","ULTRAVATE"
"739","GUAIFENESIN W/PSEUDOEPHEDRINE"
"740","PERMAX"
"741","DARVOCET-N 50"
"742","ORPHENADRINE CITRATE"
"743","LOPROX CREAM"
"744","PARLODEL"
"745","TRAVOPROST/TIMOLOL"
"746","NORETHINDRONE-ETHIN ESTRADIOL"
"747","OXYCODONE HCL/ACETAMINOPHEN"
"748","OXICONAZOLE NITRATE"
"749","DEMADEX"
"750","AZATADINE MALEATE"
"751","HYDROCHLOROT"
"752","BUTALBITAL/APAP/CAFFEINE"
"753","FENTANYL CITRATE"
"754","VERSED"
"755","TACROLIMUS 0.1%"
"756","GEODON"
"757","CHLORZOXAZONE"
"758","BENAZEPRIL HCL"
"759","SUDAFED"
"760","ORTHO-CYCLEN"
"761","PERSANTINE"
"762","BADESONIDE - AU"
"763","CARAFATE"
"764","LIVOSTIN"
"765","BENADRYL ALLERGY"
"766","INTAL"
"767","LOTEMAX"
"768","CAFERGOT"
"769","TYLENOL EXTRA STRENGTH"
"770","NEXIUM DR"
"771","DEPO-MEDROL"
"772","DECONSAL"
"773","MEXILETINE HCL"
"774","PHAZYME"
"775","CARBIDOPA"
"776","LEVODOPA"
"777","OVCON-35"
"778","MESALAMINE"
"779","HYDRALAZINE HCL"
"780","BACTRIM DS"
"781","PREDNISOLONE"
"782","PRENATAL PLUS"
"783","DAPSONE"
"784","ADVAIR INHALER"
"785","LO/OVRAL-28"
"786","BECLOMETHASONE DIPROPIONATE"
"787","ALDOMET"
"788","MICRO-K 10"
"789","DOCUSATE SODIUM W/CASANTHRANOL"
"790","ORTHO-PREFEST"
"791","IMODIUM"
"792","LONOX"
"793","OPIUM"
"794","ENTEX PSE"
"795","SPECTAZOLE"
"796","AMLODIPINE BESYLATE"
"797","METOPROLOL SUCCINATE"
"798","TYLENOL W/CODEINE NO.2"
"799","ZENICAL"
"800","EVIDA"
"801","PULMICORT"
"802","BUMETANIDE"
"803","PANTOPRAZOLE"
"804","MORPHINE SULFATE"
"805","CARBAMAZEPINE"
"806","TEGRETOL XR"
"807","MICRONOR"
"808","OFLOXACIN"
"809","PREDNISOL"
"810","ESTRONE"
"811","ESTRIOL"
"812","TICLOPIDINE HCL"
"813","HCTZ/PROPRANOLOL HCL"
"814","ERGOTAMINE TARTRATE/CAFFEINE"
"815","HYDROCORTONE"
"816","NICODERM CQ"
"817","HYCODAN"
"818","NEOMYCIN/POLYMYXIN/DEXAMETH"
"819","METHIMAZOLE"
"820","FLUNISOLIDE"
"821","LOTENSIN HCT"
"822","MAXZIDE-25MG"
"823","BECLOVENT"
"824","MOMETASONE FUROATE"
"825","MEGESTROL ACETATE"
"826","DURA-VENT"
"827","BENZOCAINE/PHENOL"
"828","VANIGA EFLORNITHINE HYDROCHLORIDE"
"829","DIFTERINGEL"
"830","BENZACLIN"
"831","TRILISATE"
"832","FLAGYL"
"833","OMNICEF"
"834","ACTIFED"
"835","CLEMASTINE FUMARATE"
"836","LISINOPRIL/HYDROCHLOROTHIAZIDE"
"837","EFUDEX"
"838","OS-CAL 500+D"
"839","DEPAKOTE ER"
"840","CORTISPORIN"
"841","MUCO-FEN 800"
"842","FERGON"
"843","CAVERJECT"
"844","ANDROGEL 1%"
"845","DECADRON"
"846","ROXICET"
"847","GENTAMICIN SULFATE"
"848","SULAR"
"849","FLUTICASONE PROPIONATE"
"850","RESTORIL"
"851","THYROLAR-3"
"852","ROBAXIN-750"
"853","DEPO-TESTOSTERONE"
"854","PERIDEX"
"855","PERCODAN"
"856","METOLAZONE"
"857","ZOVIA - 135"
"858","TRIAMCINOLONE CREME"
"859","PARAFON FORTE DSC"
"860","ESTROSTEP FE"
"861","MAVIK"
"862","RILUTEK"
"863","VANCOMYCIN HCL"
"864","TICLID"
"865","FAMVIR"
"866","IRON POLYSACCHARIDES COMPLEX"
"867","ANUSOL"
"868","CLINDAMYCIN HCL"
"869","HELIDAC"
"870","ATARAX"
"871","PERIOGARD"
"872","ASA/CALCIUM CARB/MAGNESIUM/ALH"
"873","LIMBITROL"
"874","CATAPRES-TTS 2"
"875","KETOPROFEN-30% OINT"
"876","CARTIA XR"
"877","CIPROFLOXACIN HCL"
"878","CATAFLAM"
"879","GUAIFENESIN/CODEINE PHOSPHATE"
"880","BROMFED"
"881","PREMARIN CREAM, VAGINAL"
"882","HUMULIN N"
"883","LANTUS"
"884","HUMALOG"
"885","LEVLEN 28"
"886","OXYCODONE HCL"
"887","FLUCONAZOLE"
"888","AMANTADINE HCL"
"889","AMIDRINE"
"890","NASALCROM"
"891","PERIACTIN"
"892","ANDRO GEL"
"893","PHENYLHISTINE DH"
"894","IRBESARTAN/HYDROCHLOROTHIAZIDE"
"895","AMOXIL"
"896","FAMOTIDINE"
"897","SULFATRIM"
"898","MS CONTIN"
"899","TRIAMCINOLONE ACETONIDE OINTMENT 1%"
"900","CHROMAGEN FORTE"
"901","FIORICET W/CODEINE"
"902","VALSARTAN"
"903","HUMIBID"
"904","IONAMIN"
"905","NOLVADEX"
"906","HYDRODIURIL"
"907","CUTIVATE CREAM"
"908","TRAVATAN"
"909","FENTANYL"
"910","VANIQA"
"911","AMITRIPTYLINE W/PERPHENAZINE"
"912","LOTRIMIN"
"913","TOLNAFTATE"
"914","AMIT/GABA/LIBO 3/5/5"
"915","MOMETASONE FUROATE TOPICAL .1%"
"916","SEMPREX-D"
"917","ARISTOCORT CREAM"
"918","HYDROCOD BIT/HOMATROPINE"
"919","TENUATE"
"920","AZOPT"
"921","KLARON LOTION"
"922","MIRTAZAPINE"
"923","PENLAC TOPICAL SOLN"
"924","PREDNISOLONE SODIUM PHOSPHATE"
"925","CELECOXIB"
"926","RESERPINE/HYDROFLUMETHIAZIDE"
"927","DIAZOXIDE"
"928","OCUVITE"
"929","PURINETHOL"
"930","OXAPROZIN"
"931","CROMOLYN SODIUM"
"932","ALBUTEROL SULFATE/IPRATROPIU"
"933","AZELASTINE HCL"
"934","NIZORAL SHAMPOO"
"935","ARAVA"
"936","PRAVASTATIN SODIUM"
"937","SULFASALAZINE"
"938","FIV-ASA SUPPOSITORY"
"939","DIPHENHYDRAMINE HCL"
"940","SUCRALFATE"
"941","CARDEC-DM"
"942","PENTASA"
"943","ROWASA"
"944","NAPRELAN"
"945","GALANTAMINE HYDROBROMIDE"
"946","MAXAIR AUTOHALER"
"947","ICAR-C"
"948","FOLTY"
"949","DUONEB"
"950","ALESSE-21"
"951","LUVOX"
"952","BUPROPION HCL"
"953","HYDROCORTISONE ACETATE"
"954","AGRYLIN"
"955","HYDREA"
"956","CECLOR"
"957","AZELEX 20%"
"958","DEMULEN 1/50-28"
"959","MONISTAT 7"
"960","EASPRIN"
"961","HALCION"
"962","ALORA"
"963","ESCLIM"
"964","POLYMYXIN B SULFATE/HC"
"965","NORPLANT"
"966","BROMOCRIPTINE MESYLATE"
"967","THALIDOMIDE"
"968","FLURAZEPAM HCL"
"969","DECONGESTANT"
"970","GUAIFENESIN/PSEUDOEPHEDRINE"
"971","EPINEPHRINE INJECTION"
"972","BROMFED-PD"
"973","PLEXION"
"974","CANDESARTAN CILEXETIL"
"975","COLACE-T"
"976","BETAMETHASONE DIPROPIONATE LOTION"
"977","ACLOVATE"
"978","HUMIBID L.A."
